canonical_smiles,pIC50,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Cc1ccccc1-c1ccc2nc(N)c(C[C@@H](C)C(=O)N[C@@H]3CCOC(C)(C)C3)cc2c1,9.1549015,12.864976482000362,12.864976482000362,0.05634999717160638,-0.1935084261601192,0.5929347334781221,18.9375,431.5800000000002,398.3160000000002,431.257277296,168,0,0.22288521095429525,-0.3834506314098386,0.3834506314098386,0.22288521095429525,1.25,2.03125,2.78125,16.499634703934447,9.924187918950642,2.3017177359760708,-2.357953277793179,2.288569011445022,-2.468994783119583,5.870709699645922,-0.12699941639140863,2.7335471864601764,1.5215017089029144,1138.9496709505192,22.880104409694468,19.442990262259762,19.442990262259762,15.215147172033525,11.412098756202674,11.412098756202674,9.66677315781779,9.66677315781779,6.400400616290634,6.400400616290634,4.584056475025744,4.584056475025744,-2.92,13199091.135559777,22.280241292031764,8.907698428298923,4.937030126571312,189.9281042676442,15.787319034968565,5.817862777835028,0.0,5.907179729351506,0.0,0.0,4.794537184071822,4.9839785209472085,0.0,0.0,37.255572541998674,80.48658364002273,23.95285305428707,11.11775152859995,9.53140013787187,22.627967439267593,0.0,10.30076712495354,5.917906046161393,58.60030530767217,12.340549441675103,59.65783953108687,0.0,11.126902983393991,11.050456081168516,5.817862777835028,0.0,0.0,29.140931854943283,15.95222176079788,12.841643245852017,44.73975782831789,48.53093654769288,0.0,22.02982791547505,0.0,77.24,0.0,4.794537184071822,0.0,23.467977415644548,18.845566365273957,34.871471161327065,11.126902983393991,0.0,19.056471336613846,67.47018113479507,10.470530430962235,5.762677647337894,0.0,17.47442784993658,4.243680253256649,11.448049782142714,0.35732125938835924,16.84185680812635,2.2339871554570743,8.887999244354383,0.0,0.4074074074074074,32,3,5,0,1,1,1,2,1,3,2,0,4,2,5,2,5,0,1,1,0,0,6.202052198098504,4,5.044820000000004,130.3921,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CCCO[C@H]1C[NH2+][C@@H]([C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@H](CCc2ccccc2)N2CC[C@@](CC(C)C)(NC(C)=O)C2=O)C1,8.8538723,14.325499818193272,14.325499818193272,0.01890756247019798,-1.1154826995002445,0.22116088613321294,23.148936170212767,657.8230000000001,606.4150000000002,657.38220359209,258,0,0.2485901803331535,-0.38474319333589097,0.38474319333589097,0.2485901803331535,1.127659574468085,1.8297872340425532,2.4680851063829787,19.145447781881465,9.867398224137549,2.506075214856924,-2.3411842988461182,2.3220496766349674,-2.901814203038528,5.960069299015164,-0.6792497409609164,3.596121586131778,1.6226195223504705,1341.8922996002639,34.139252954758796,28.014671148583684,28.014671148583684,22.40072356713947,16.924790241423885,16.924790241423885,13.60113782647481,13.60113782647481,9.200885929986066,9.200885929986066,7.19807977892667,7.19807977892667,-3.41,17238309976.728786,36.426439922619636,16.61374158424552,9.806356844634665,276.36828207273527,30.693665891510225,48.00973777418023,0.0,17.721539188054518,0.0,0.0,14.383611552215466,8.78083009534964,0.0,0.0,51.103046941379915,67.70247290403466,32.56256426150374,6.041840829147961,38.324620600212185,17.721539188054518,0.0,15.533486938863138,5.917906046161393,108.5130806745684,19.696394776338067,71.29228121317867,0.0,0.0,15.950365812018994,8.78083009534964,0.0,0.0,83.29675160540762,31.96211775186753,17.55234772825318,70.92595989678652,48.53093654769288,0.0,0.0,0.0,124.57999999999998,41.26819470987086,28.27096904240581,0.0,42.84365075059925,50.81919797675255,18.050640183084614,19.056471336613846,4.899909730850478,56.41983554538625,10.633577208012662,4.736862953800049,34.33916412416163,0.0,42.27967843452717,19.56794861480217,0.17717549753545025,-2.465831098774314,10.71388207819063,1.8959346551221001,8.908714361101831,0.0,0.5833333333333334,47,5,9,0,2,2,3,2,0,2,6,0,5,4,11,2,16,0,2,2,0,0,12.876158717201,4,2.638600000000004,174.11159999999958,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)C[NH2+]Cc4cccc(OC)c4)cc13)N(C)S(=O)(=O)CC2,8.6989698,13.78472681268819,13.78472681268819,0.009673867632606914,-3.529965534479777,0.24783728835663665,15.666666666666666,591.7540000000001,552.4420000000002,591.2635677680898,222,0,0.25120140685572584,-0.49675395841210773,0.49675395841210773,0.25120140685572584,1.0952380952380953,1.8571428571428572,2.5952380952380953,32.233384231461635,9.994430848484354,2.293996006014265,-2.242201517824574,2.3535458411684047,-2.8544762042896394,7.923076245363292,-0.6764391848248859,3.326331928704562,1.4030948391851457,1669.239737889999,29.854795904382627,24.28577696378286,25.102273544710588,20.195040328204517,14.296327034494912,15.905492342021317,10.793387035701425,12.913186454696572,8.026120732243072,9.755810715623687,5.605164236792048,6.745302941087643,-3.8599999999999994,2655411656.836481,29.62616416136327,12.562489102081546,6.303570975717122,246.70949720178115,25.044067204444772,24.942991032857357,0.0,10.023291153407584,5.907179729351506,0.0,9.099753175368056,8.417796984328938,0.0,0.0,49.38830667892189,48.234014503092446,36.302399158061625,30.10857896947211,28.372513121047845,32.520782089523706,0.0,9.883888251797686,0.0,45.00070047426405,30.760295527910323,95.1806872914788,0.0,5.749511833283905,19.675656153108946,5.687386274683562,5.749511833283905,0.0,62.599490509822836,35.954447211084755,0.0,33.97208035055043,72.9268813246908,0.0,10.902924932081056,0.0,117.47999999999999,22.169098370303846,18.318861563241466,0.0,11.660033336098294,37.305928607044294,39.76361286338196,4.305215991296234,20.223836592416333,83.66813970771751,5.316788604006331,4.736862953800049,34.42296463157187,0.0,13.78472681268819,17.256992778704955,4.788633668380139,0.4145504266507256,20.47866477952505,2.3558284909736518,3.436829052340019,-0.35585730750127276,0.34375,42,4,9,0,1,1,1,3,1,4,2,0,6,3,10,2,11,0,0,0,0,0,8.861389628895356,5,2.4575000000000005,164.40319999999969,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
CCOC[C@@H](Oc1cc(C[C@@H]2CS(=O)(=O)C[C@H]([NH2+]Cc3cccc(C(C)(C)C)c3)[C@H]2O)cc(F)c1N)C(F)(F)F,8.6989698,14.639226151543678,14.639226151543678,0.021898889556236423,-4.794456170299214,0.28904183015926876,22.175,591.6880000000003,552.3760000000004,591.2510326480899,224,0,0.42721212598409725,-0.47618302374892263,0.47618302374892263,0.42721212598409725,1.125,1.825,2.45,32.22783214889824,9.859632528195009,2.434250111756961,-2.329404068516999,2.3328657706926204,-2.933032697946553,7.910115831019299,-0.7080817781422473,2.8397814838292366,1.7865122380001275,1264.3217753707963,29.880104409694475,23.17115685725099,23.987653438178715,18.497168910350606,13.20086114041286,15.022228345458778,11.382783628875098,13.536590391075642,7.042279630274773,8.871067734602763,4.811198843818449,6.8343398840305465,-2.4099999999999997,219784853.86358595,32.10895275908704,12.624566679562726,8.545603691718163,232.52035708769955,25.63070938360932,41.69753617856899,9.837253136417502,6.103966387748303,0.0,6.176298517443475,0.0,12.808212032003757,13.171245143024459,0.0,38.9703128044567,48.08555348079223,18.088239502371305,12.359735571259707,45.87649908147536,15.524639411101063,0.0,0.0,5.917906046161393,70.50158941908589,30.4531386196816,58.90577772690654,0.0,5.749511833283905,15.787319034968565,23.24904646538284,5.749511833283905,0.0,62.669867643777096,32.95468458845291,11.735126887207288,44.38530327385348,36.39820241076966,0.0,0.0,0.0,115.46000000000001,64.0422322181932,31.085984569868927,0.0,35.51185276202628,6.544756405912575,23.259637120317212,6.923737199690624,5.316788604006331,18.19910120538483,26.83757866753348,15.207393384762284,90.38948962198884,0.0,0.0,12.903457583886219,7.281853332354872,-2.8892716531999807,9.467444945405951,-8.321358051592695,7.471570315357267,-3.5531860942004765,0.5714285714285714,40,5,7,0,1,1,0,2,0,2,4,0,6,3,12,1,10,0,1,1,0,0,10.134040377950598,3,3.131800000000002,144.19039999999993,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)C[NH2+]Cc4cccc(C(F)(F)F)c4)cc13)N(C)S(=O)(=O)CC2,8.6989698,13.75301453458168,13.75301453458168,0.06053037581322096,-4.443733968803321,0.24984287147259474,16.0,629.725,593.4370000000002,629.2403877120901,234,0,0.41592330415856454,-0.38506958943161274,0.41592330415856454,0.38506958943161274,1.0681818181818181,1.7954545454545454,2.5,32.2333844951213,9.994106773716126,2.3132338786796454,-2.242398988099757,2.355395883660942,-2.8545680344642084,7.9230777325218265,-0.6764422552206368,3.323315527606014,1.3902016508137116,1756.635240747144,31.64768912319608,24.511422092346685,25.32791867327441,20.86836039114892,14.50090130831296,16.110066615839365,11.139994833711423,13.25979425270657,8.146280477340722,9.875970460721337,5.680359274842537,6.820497979138133,-3.8699999999999988,4868488609.619678,31.551571897175236,12.62438306791781,6.768137349293259,254.09255818105294,20.307204250644723,19.193479199573453,0.0,10.023291153407584,5.907179729351506,6.176298517443475,9.099753175368056,8.417796984328938,13.171245143024459,0.0,49.38830667892189,48.234014503092446,36.302399158061625,28.56223291989157,36.80689531027225,32.520782089523706,0.0,9.883888251797686,0.0,51.17699899170753,23.65049798663279,100.7441387831758,0.0,0.0,14.938793199308897,18.858631417708022,0.0,0.0,55.489692968545306,42.130745728528225,0.0,39.53553184224742,72.9268813246908,0.0,10.902924932081056,0.0,108.25,39.81602810879582,31.490106706265927,0.0,24.405817910268937,30.63723741814515,34.162562052398265,17.419255042435033,23.51588980939116,48.019515761403106,5.316788604006331,0.0,68.34955908349778,0.0,13.75301453458168,16.6904443788124,3.0478263365774128,-0.527329020457284,17.009353563421257,-2.5364067054510153,2.6494680453010373,-2.1025968829499364,0.34375,44,4,8,0,1,1,1,3,1,4,2,0,5,3,12,2,10,0,0,0,0,0,9.052707500565692,5,3.4677000000000016,162.8531999999997,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,3,0,1,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
CC(C)(C)c1cccc(C[NH2+][C@H]2CS(=O)C[C@@H](Cc3cc(F)c(N)c(OC(C(F)(F)F)C(F)(F)F)c3)[C@@H]2O)c1,8.6989698,14.416648794211856,14.416648794211856,0.028699509698788317,-5.816379953586634,0.3389063539194986,22.76923076923077,585.6060000000002,553.35,585.20163784409,218,0,0.4340244962116012,-0.4689960229651277,0.4689960229651277,0.4340244962116012,1.0512820512820513,1.6923076923076923,2.282051282051282,32.19721921638795,9.8596328195344,2.5901542314024133,-2.3270104739252306,2.389152312872491,-2.93080417423882,7.84610665293818,-0.7080071264242398,2.7916242172719565,1.7706568606348634,1167.6069959952233,29.336134335324456,21.57434013297785,22.390836713905575,17.85722904222581,12.197110977014814,13.685144848727399,10.852584475478455,12.398903953400014,6.637941539412422,8.194564116764505,4.5179306313747505,6.209144366326397,-2.38,115540993.75210108,31.15169135806773,11.61759354589619,8.072980563542021,223.92238965996748,20.893846429809273,35.9446825718222,0.0,0.0,6.103966387748303,12.35259703488695,4.208898492164469,4.39041504767482,26.34249028604892,0.0,38.970312804456704,41.16181628110161,28.033780187509485,5.752853606746789,50.1019827785353,16.48695531758787,0.0,0.0,5.917906046161393,69.75415073683875,17.23937469065576,58.90577772690654,0.0,5.749511833283905,15.787319034968565,36.420291608407304,5.749511833283905,0.0,51.42350374003027,29.180137541139672,11.735126887207288,37.46156607416286,36.39820241076966,0.0,0.0,0.0,89.16000000000001,64.57396467761058,40.04833122072892,0.0,28.90497079751336,6.544756405912575,23.259637120317212,0.0,0.0,29.58225687785277,25.50807455287192,5.733667477162185,108.95023585375262,0.0,0.0,12.86177354676949,6.391891742065658,-2.850603405387389,9.093771922049024,-17.012768671201307,6.728538070801835,-1.357283503294356,0.5384615384615384,39,5,5,0,1,1,0,2,0,2,4,0,4,3,13,1,7,0,1,1,0,1,9.27968431962148,3,3.991500000000002,132.97500000000002,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CCCCCS(=O)(=O)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]Cc1cccc(CC)c1,8.6989698,14.024989835028894,14.024989835028894,0.12611514682487135,-3.761691678982633,0.15676517713379243,13.533333333333333,645.7929999999999,602.4490000000001,645.29167433609,244,0,0.25302273627487154,-0.385069796647802,0.385069796647802,0.25302273627487154,0.9555555555555556,1.6888888888888889,2.3555555555555556,32.227831216515526,9.996959162010029,2.3140176416300133,-2.264502503696439,2.128786550893926,-2.855117885846588,7.909726682980557,-0.6764430271093127,2.9993066814327025,1.8181705391674148,1487.6916383407795,32.82141570956301,25.715812657861,26.53230923878873,21.48953407971276,15.23440190729863,17.05576911234454,11.155471418604684,13.384193137935753,7.382950856492445,9.134835579720159,4.941679658505721,6.494872711813831,-3.7399999999999984,4642178727.768701,35.73581856760049,17.67059067001285,12.28566665518715,263.32764703366394,21.056893206859698,36.86976171081321,9.837253136417502,5.907179729351506,5.907179729351506,0.0,14.573052889090853,17.198627079678577,0.0,0.0,50.95458591907971,54.65483612601845,24.023505703384757,23.110999534338536,37.21101744666926,21.65161259512051,0.0,15.617555728959871,0.0,70.68398696596807,18.050463619406152,100.87923840826045,0.0,0.0,15.950365812018994,8.78083009534964,0.0,0.0,66.56077402427023,34.01818997225392,11.63444168209179,60.15828241901907,66.99099075938065,0.0,0.0,0.0,142.07,57.226555930003315,31.894228842662926,0.0,29.845334618979365,19.386399651764595,36.60419594293384,30.08987277184637,0.0,30.439627009081782,28.607659997112105,0.0,53.97850506009003,0.0,30.49414695984353,18.229655287957456,2.5346362649562755,-3.9838317990782075,11.3952694611718,4.204887952743898,4.658422491297842,-3.761691678982633,0.42424242424242425,45,5,9,0,0,0,2,2,1,3,3,0,6,4,12,1,18,0,0,0,0,0,14.03273382590918,3,2.4776000000000016,167.98589999999967,0,1,1,0,0,1,0,0,0,0,2,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0
CC#Cc1cncc(-c2cccc([C@@]3(c4cc(C)c(=O)n(CC)c4)[NH+]=C(N)c4c(F)cccc43)c2)c1,8.6126099,15.0488901163607,15.0488901163607,0.05602977276574461,-0.9988396006550775,0.44416028143718783,16.166666666666668,477.56300000000016,451.35500000000025,477.20851609209006,178,0,0.2771124872316211,-0.31511461075082503,0.31511461075082503,0.2771124872316211,1.0833333333333333,1.8888888888888888,2.6666666666666665,19.14219791389603,9.767789969512346,2.4767025820842377,-2.2804092309997768,2.384871413717305,-2.844101269729822,5.973834091542819,-0.5305311333366033,3.2017885703429654,1.8197566896736144,1657.7873420427852,25.449018510446813,20.393300235124695,20.393300235124695,17.38341437139498,11.789429613592112,11.789429613592112,8.872126533338692,8.872126533338692,6.684457030533984,6.684457030533984,5.032003013635427,5.032003013635427,-4.499999999999999,172364528.78463197,23.25163658004364,8.936158572510731,3.607418419963115,208.72715502552313,4.567099647791355,11.38067233274289,5.538925252383345,0.0,11.394886680809275,0.0,20.504587914816884,4.39041504767482,0.0,5.920434318855644,36.252269661163695,50.6001313646153,58.51599607093377,0.0,9.382819780310488,5.835619785757269,0.0,9.551078168738563,5.733667477162185,32.85489325736779,0.0,122.73956820134545,0.0,22.96777162110528,16.28533910484986,4.39041504767482,0.0,0.0,15.386697954495833,12.08368165829592,24.581826678447808,47.22818334956322,77.98237151506555,0.0,11.126902983393991,0.0,74.88,11.35614609342924,4.794537184071822,4.39041504767482,11.394886680809275,23.23511088100356,27.817257458484978,6.06636706846161,36.87462825886037,49.51878318207336,27.883618959755776,5.733667477162185,16.71777848208348,0.0,20.50238719488841,0.0,11.331224208794419,5.814253028880955,16.83826712456194,5.361935052107466,6.0174882420166655,0.0,0.16666666666666666,36,3,5,0,1,1,0,2,2,4,1,0,4,2,6,3,4,0,0,0,0,0,5.7716753208239195,5,2.8405199999999997,138.87909999999997,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CCc1ccc2c(c1)[C@@H]([NH2+]C[C@@H](O)[C@@H]1Cc3cccc(c3)CCCCn3cc(ccc3=O)C(=O)N1)CC1(CCC1)O2,8.6020603,13.405832624464999,13.405832624464999,0.08830235461637037,-0.7644348387503157,0.4485632344562827,22.4390243902439,556.7270000000002,514.3910000000004,556.31698324409,216,0,0.25259093927258286,-0.4864931947367216,0.4864931947367216,0.25259093927258286,1.0731707317073171,1.9268292682926829,2.731707317073171,16.506769326075762,9.724625302302307,2.468596991276504,-2.467122013492858,2.47485041735996,-2.8897062750003775,5.936629800501368,-0.705089568656824,2.9652201531586937,1.2413234532898703,1460.3185445723468,28.398765978752643,23.98025042409829,23.98025042409829,19.909748498464037,15.336925960523073,15.336925960523073,12.224272542664137,12.224272542664137,9.315267181128236,9.315267181128236,6.694496452297504,6.694496452297504,-3.42,1749920385.6782615,27.735299746880457,11.824545888262067,6.114462944634388,241.49228103232804,25.044067204444772,30.04112626707643,0.0,0.0,11.466446624403513,0.0,9.589074368143644,0.0,0.0,0.0,37.255572541998674,86.25602866388391,25.22878866891327,17.16874381254195,19.954716136718908,5.907179729351506,0.0,9.883888251797686,0.0,95.04458706896521,6.544756405912575,98.96520872537639,0.0,5.749511833283905,20.929707056864718,0.0,5.749511833283905,0.0,39.87242120577609,25.807221274690605,0.0,84.10230240895145,65.58868437183939,0.0,0.0,0.0,97.17,12.145807216896262,14.69560176298435,0.0,23.10933826453516,25.073785926448156,56.25871468546298,29.177543166478607,16.83031028786604,0.0,60.02188388693455,4.736862953800049,8.134868878912648,0.0,25.817221442198576,16.969043420596226,5.084729558461904,0.704218967701597,17.75681810881515,9.414491574405666,3.2019413822415723,0.0,0.47058823529411764,41,4,7,1,2,3,1,2,1,3,3,4,5,3,7,3,5,1,0,1,1,0,7.998959136138811,6,3.4589000000000016,158.22739999999973,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CC(C)c1cccc(C[NH2+]C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCC[C@H](C(C)(C)N3CCCCC3=O)C2)c1,8.6020603,13.699889504298913,13.699889504298913,0.04174666162761409,-0.6720023858500139,0.3545984292437789,21.51219512195122,562.8190000000003,510.4030000000004,562.40031894409,224,0,0.22294091208816882,-0.38506980727198264,0.38506980727198264,0.22294091208816882,1.048780487804878,1.8048780487804879,2.5365853658536586,16.27004321936612,9.707001943858838,2.422209551104745,-2.4799768114995415,2.3990042037239783,-2.8547613902571194,5.793242162547099,-0.6764435994938403,2.973071254710512,1.3890884660085276,1132.493006923565,29.407202147189924,25.649352402824046,25.649352402824046,19.645904176820622,15.881320254879258,15.881320254879258,13.216989152321919,13.216989152321919,9.559617411967817,9.559617411967817,6.8214009742829385,6.8214009742829385,-2.7,1163545590.173533,31.240381898234727,14.460555357778565,8.4193897643144,246.84733963932754,20.640014333703846,19.193479199573453,0.0,11.814359458703011,0.0,0.0,9.589074368143644,0.0,0.0,0.0,68.79923257000013,81.40148628111571,29.985860819080322,6.041840829147961,20.01239036699068,11.814359458703011,0.0,10.216698334856808,11.835812092322787,109.20891670352417,13.08951281182515,71.28765809124549,0.0,0.0,10.633577208012662,0.0,0.0,0.0,52.595041865498956,22.554652396982227,11.835812092322787,95.24896068049695,54.59730361615449,0.0,0.0,0.0,86.25,6.103966387748303,14.69560176298435,0.0,29.31303158639571,31.222211744087378,57.177894041078204,11.126902983393991,0.0,18.19910120538483,79.6266381483953,0.0,0.0,0.0,28.51150537021568,16.74927503325619,3.4244951885694643,0.9769206895235433,18.399126386642102,6.279908149857092,10.908769181935929,0.0,0.6,41,4,6,1,1,2,2,2,0,2,4,0,3,3,6,1,12,1,1,2,0,0,11.01837248384309,4,4.559300000000003,164.20189999999965,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
